kljuc;naziv
1409;Potraživanja za više plaæeni PDV po konaènom obraèunu
141;Potraživanja za porez i prirez na dohodak iz plaæa i drugih primanja
1410;Potraživanja za porez na dohodak iz plaæa
1411;Potraživanja za prirez iz plaæa
1412;Potraživanja za porez na dohodak iz autorskih prava, ugovora o djelu, dohodaka èlanova nadzornog odbora i drugih dohodaka
1413;Potraživanja za porez i prirez na stipendije i nagrade uèenika i studenta
1414;Potraživanja za poreze iz drugih dohodaka
1417;Potraživanja za više plaæeni porez na dohodak od kapitala
142;Potraživanja za više plaæene doprinose iz plaæa i na plaæe
1420;Potraživanja za više plaæene doprinose za MO iz plaæe
1421;Potraživanja od MO za više plaæeni doprinos za beneficirani staž
1422;Potraživanja za više plaæeni doprinos za zdravstveno osiguranje na plaæe
1423;Potraživanja za više plaæeni dopr. za zdrav. osigur. za sluèaj ozljede na radu i prof. bolesti
1424;Potraživanja za više plaæeni doprinos za zapošljavanje na plaæe
1429;Potraživanja za ostale nespomenute doprinose
143;Potraživanja za porez na dobitak i po odbitku
1430;Potraživanja za plaæene predujmove poreza na dobitak
1432;Potraživanja za više plaæeni porez po odbitku (na inozemne usluge)
1433;Potraživanja za porez na dobitak steèen po ugovoru o cesiji ili iz preknjižavanja
1434;Porez na dobitak plaæen u inozemstvu
144;Potraživanja za posebne poreze (akcize - trošarine) i dr. poreze od države
1440;Potraživanja za poseban porez na kavu
1441;Potraživanja za poseban porez na bezalkoholna piæa
1442;Potraživanja za poseban porez na alkoholna piæa
1443;Potraživanja za poseban porez na pivo
1444;Potraživanja za poseban porez na duhanske proizvode
1445;Potraživanja za poseban porez na naftne derivate i naknade za ceste
1446;Potraživanja za poseban porez na osobne automobile, motocikle, ostala motorna vozila, plovila i zrakoplove
1447;Potraživanja za poseban porez na luksuzne proizvode
1448;Potraživanja za porez na promet nekretnina
1449;Potraživanja za 5% poreza na promet motornih vozila i plovila
145;Potraživanja za plaæenu èlanarinu turistièkim zajed.
146;Potraživanja za èlanarine komori (HGK ili HOK)
147;Potraživanja za carinu i više plaæene carinske pristojbe
148;Potraživanja za županijski i opæinski (gradski) porez
1480;Potraživanja za više plaæeni porez na motorna vozila i plovne objekte
1481;Potraživanja za porez na kuæe za odmor i korištenje javnih površina
1482;Potraživanja za porez na reklamu
1483;Potraživanja za porez na tvrtku ili naziv
1484;Potraživanja za porez na potrošnju u ugostiteljstvu
1485;Potraživanja za plaæeni porez na prireðivanje zabavnih i športskih priredbi
1486;Potraživanja za plaæeni porez na nasljedstva i darove
1487;Potraživanja za više plaæeni porez na neiskorištene nekretnine
1489;Potraživanja za ostale poreze županije (grada), opæine
149;Potraživanja za ostale nespomenute poreze, doprinose, takse i pristojbe
1490;Potraživanja za više plaæenu nadoknadu za šume
1491;Potraživanja za više plaæene kazne i sl.
1492;Potraživanja za više uplaæene naknade za iskorištavanje mineralnih sirovina
1493;Potraživanja za više plaæene naknade za koncesije
1495;Potraživanja za spomenièku rentu
1497;Potraživanje od Fonda za razvoj i sl.
1499;Potraživanja za ostala plaæena davanja državi i državnim institucijama
15;POTRAŽIVANJA OD DRŽAVNIH INSTITUCIJA
150;Potraživanje za nadoknade bolovanja od HZZO
151;Potraživanja od mirovinskog osiguranja
152;Potraživanja od lokalne samouprave
153;Potraživ. za regrese, premije, stimulac. i držav. potpore
154;Potraživanje od Fonda za otkupljenu ambalažu
155;Ostala potraživanja od državnih institucija
159;Vrijednosno usklaðenje potraživanja od države i drugih institucija
19;PLAÆENI TROŠKOVI BUDUÆEG RAZDOBLJA I OBRAÈUNANI PRIHODI (unutar jedne godine od datuma bilance)
190;Unaprijed plaæeni troškovi
1900;Unaprijed plaæeni troškovi održavanja, opreme, postrojenja i graðevina
1901;Unaprijed plaæena zakupnina iz operativnog - poslovnog najma
1902;Unaprijed plaæeni troškovi reklame, propagande i sajmova
1903;Unaprijed plaæeni troškovi energije za sljedeæe razdoblje
1904;Unaprijed plaæeni troškovi osiguranja imovine i osoba koje rade na opasnim poslovima ili putnika u prometu i sl.
1905;Unaprijed plaæene kamate na bankovna jamstava i sl.
1906;Unaprijed plaæeni troškovi reprezentacije
1907;Unaprijed plaæene pretplate na službena glasila i struène èasopise
1908;Unaprijed isplaæene plaæe za buduæe razdoblje
1909;Unaprijed plaæeni ostali troškovi poslovanja (troškovi prijevoza, bankovne usluge, zdravstvena zaštita, autorski honorari, rad po ugovoru i sl.)
191;Obraèunani prihodi (buduæeg razdoblja)
192;Unaprijed plaæeni ovisni troškovi nabave (koji nisu na 651)
193;Troškovi kamata iz buduæeg razdoblja
194;Unaprijed plaæeni troškovi koncesija (za razdoblje do 12 mj.)
195;Unaprijed plaæene franšize, trgovaèko znakovlje, prava i sl. (do 12 mj.)
196;Unaprijed plaæene licencije i patenti (do 12 mj.)
199;Ostali plaæeni troškovi buduæeg razdoblja
1999;Ostala aktivna vremenska razgranièenja
2;KRATKOROÈNE I DUGOROÈNE OBVEZE, DUGOROÈNA REZERVIRANJA, ODGOÐENA PLAÆANJA I PRIHODI BUDUÆEG RAZDOBLJA
20;KRATKOROÈNE OBVEZE PREMA POVEZANIM PODUZETNICIMA I S OSNOVE UDJELA U REZULTATU (do jedne godine)
200;Obveze prema povezanim poduzetnicima
2000;Obveze prema povezanim društvima za preuzete zalihe (poluproizvoda, robe i sl.)
2001;Obveze za rasporeðeni dobitak iz poslovanja prema povezanim društvima
2002;Obveze za zajmove prema povezanim društvima
2003;Obveze prema podružnicama
2004;Obveze prema osnovanim ustanovama, zadrugama i sl.
2005;Obveze za predujmove od povezanih društvima
2008;Obveze za kamate prema povezanim društvima
2009;Ostale kratkoroène obveze prema povezanim društvima
201;Obveze s osnove udjela u rezultatu
2010;Obveze s osnove udjela u dobitku (analitika prema èlanovima)
2011;Obveze za dividende dionièarima
2012;Obveze za sudjelujuæe dobitke u rezultatu iz zajednièkog pothvata
2013;Obveze prema zadrugarima iz rezultata
2014;Obveze iz dobitka prema tajnim èlanovima
2015;Ostale obveze s osnove udjela u dobitku
21;KRATKOROÈNE FINANCIJSKE OBVEZE
210;Obveze za izdane èekove
211;Obveze za izdane mjenice
2110;Obveze za dane mjenice
2111;Obveze za dane mjeniène akcepte
212;Obveze po izdanim vrijednosnim papirima
2120;Obveze po izdanim komercijalnim zapisima
2121;Obveze po izdanim obveznicama
2122;Obveze po izdanim zadužnicama
2123;Obveze po ostalim kratkoroènim vrijednosnim papirima
2128;Obveze za kamate sadržane u vrijed. papirima
213;Obveze prema poduzetnicima u kojima postoje sudjelujuæi interesi (do 20% udjela)
214;Obveze s osnove zajmova, depozita i sl.
2140;Obveze za financijske zajmove od društava
2141;Obveze za zajmove od ustanova, zadruga i sl.
2142;Obveze za kratkoroène zajmove iz inozemstva
2143;Obveze za dio dospjelih dugoroènih zajmova koji se trebaju platiti u roku 12 mj.
2144;Obveze za zajmove prema graðanima
2145;Obveze za zajmove èlanova društva
2146;Obveze po kontokorentnom raèunu
2147;Obveze za depozite, jamèevine i kapare
2148;Obveze za kaucije
2149;Ostali kratkoroèni zajmovi i sl.
215;Obveze prema bankama i drugim financijskim institucijama
2150;Obveze za kratkoroène kredite u banci (analitika po bankama a unutar banke po ugovorima o kreditu)
2151;Obveze za kratkoroène kredite u osiguravajuæim društvima (analitika po društvima i kreditima)
2152;Obveze prema ostalim kreditnim institucijama (štedionicama, mirovinskom fondu i dr.)
2153;Obveze prema kreditnim institucijama i bankama u inozemstvu
2154;Obveze prema bankama po naplaæenim garancijama
2155;Obveze po isplaæenom akreditivu
2156;Obveze za prekoraèenje na raèunu (okvirni kredit)
2157;Obveze za kamate prema bankama
2158;Obveze za kamate prema financ. institucijama
2159;Ostale obveze prema kreditnim institucijama
216;Obveze prema izdavateljima kreditnih kartica (analitika prema kartièarima)
217;Obveze iz eskontnih poslova
2170;Obveze s temelja eskontiranih mjenica
2171;Ostale obveze iz eskonta vrijednosnih papira
2172;Obveze iz otkupa tražbina
218;Obveze s osnove dugotrajne imovine namijenjene prodaji (analitika prema izvorima)
22;OBVEZE PREMA DOBAVLJAÈIMA, ZA PREDUJMOVE I OSTALE OBVEZE
220;Obveze prema dobavljaèima u zemlji (analitika prema dobavljaèima)
2200;Dobavljaèi dobara
2201;Dobavljaèi usluga
2202;Dobavljaèi opreme, postrojenja i nekretnina
2203;Dobavljaèi nematerijalne imovine
2204;Dobavljaèi iz operativnog lizinga (za najmove)
2205;Dobavljaèi iz ortaèkog ugovora
2206;Dobavljaèi zadruge, ustanove i dr.
221;Dobavljaèi iz inozemstva (analitika prema dobavljaèima)
2210;Dobavljaèi dobara iz inozemstva
2211;Dobavljaèi usluga iz inozemstva
2212;Dobavljaèi prava intelektualnog vlasništva, istraživanja tržišta i dr.
2213;Dobavljaèi prava na franšizu i sl.
222;Dobavljaèi fizièke osobe
2220;Dobavljaèi, obrtnici i slobodna zanimanja
2221;Dobavljaèi fizièke osobe (za isporuèene osnovne proizvode poljodjelstva, ribarstva i šumarstva)
2222;Dobavljaèi za isporuèenu osobnu imovinu
2223;Obveze s osnove autorskih prava, inovacija, patenata i sl.
2224;Obveze s osnove ugovora o djelu i akviziterstva
2225;Obveze prema studentima i uèenicima za rad preko studentskog servisa
2226;Dobavljaèi kooperanti - fizièke osobe
2229;Ostali dobavljaèi - fizièke osobe
223;Dobavljaèi komunalnih usluga
2230;Obveze za energetske isporuke
2231;Obveze za usluge odvodnje i odvoza smeæa
2232;Obveze za ostale komunalne usluge
224;Obveze za nefakturirane a preuzete isporuke robe i usluge
225;Obveze za predujmove
2250;Primljeni predujmovi za koje su izdani raèuni s PDV-om
2251;Primljeni predujmovi koji nisu pod PDV-om
2252;Primljeni predujmovi iz inozemstva
2253;Obveze za predujmove graðana
23;OBVEZE PREMA ZAPOSLENIMA I OSTALE OBVEZE
230;Obveze prema zaposlenicima
2300;Obveze za neto-plaæe
2301;Nadoknade plaæa koje se refundiraju (od državnih institucija, od HZZO, od lokalne samoupr.)
2302;Obveze za nadoknade troškova (dnevnice, terenski dodatak, nadoknade troškova službenog puta, ukljuèivo i kilometraža, nadoknade za dolazak na posao i dr.)
2303;Obveze za darove i potpore (božiænica, dar djeci, potpora zbog bolesti, regres za g. o. i sl.)
2304;Obveze prema zaposlenima za primitke koji se smatraju dohotkom (prehrana, davanja u naravi i sl.)
2305;Obveze prema zaposlenima s temelja otpremnine, jubilarne nagrade, nadoknade za odvojeni život, pomoæi obitelji umrlog posloprimca i sl.
2306;Obveze za obustave iz neto-plaæa i nadoknada plaæa
23060;Obveze za obustave iz neto-plaæe za isplate kredita i pozajmica
23061;Obveze za obustave iz neto-plaæa i nadoknada za sudske zabrane, kazne i sl.
23062;Obveze iz ovrha na neto-plaæi
23063;Obveze za obustave iz neto-plaæa i nadoknada plaæa za èlanarine, i dr.
2307;Obveze prema zaposlenima za zatezne kamate i sl.
2308;Obveza prema zaposlenima za naknadu šteta: zbog ozljede na radu, neiskorištenog godišnjeg odmora i sl.
2309;Obveze za obraèunanu bruto-plaæu iz prošle poslovne godine (koje nisu isplaæene i XIII. plaæa)
231;Kratkoroène obveze iz nabava i potpora
2310;Obveze s temelja tekuæe nabave u gotovini
2311;Obveze prema vanjskim èlanovima uprave, nadzornog odbora, prokuristima, steèajnim upraviteljima i sl.
2312;Obveze za preuzeta plaæanja temeljem ugovora o cesiji, asignaciji i preuzimanjem duga
2313;Obveze za ugovorene penale, kazne i sl.
2314;Obveze za darovanja (do 2% od ukupnog prihoda)
2315;Obveze za nadoknadu troškova (refundacije)
2316;Obveze za naknadno odobrene bonifikacije, casasconte i druge popuste
2317;Obveze za stipendije
2318;Obveze za primljene potpore (nisu za prihod)
2319;Ostale kratkoroène obveze
232;Obveze za kamate (analitika prema dužnicima i vrstama obveza prema nepovezanim društvima)
2320;Obveze za ugovorenu kamatu
2321;Obveze za zateznu kamatu
2322;Obveze za kamate na zajmove prema poduzetnicima
233;Obveze po obraèunu prodanih dobara primljenih u komisiju ili konsignaciju
2330;Obveze po obraèunu za prodana dobra
2331;Obveze za isplatu komitentu
2332;Obveze prema nalogodavatelju iz zastupnièke prodaje
234;Obveze prema osiguravajuæim društvima
2340;Obveze iz osiguranja imovine i osoba
2341;Obveze za životna osiguranja
2342;Obveze u III. stupu mirovinskog osiguranja
2343;Obveze za premije zdravstvenog osiguranja
2344;Obveze za dopunsko zdravstveno osiguranje
235;Obveze iz poslovanja u slobodnoj zoni
236;Obveze iz vanjskotrgovaèkog poslovanja
2360;Obveze prema uvozniku (ili naruèitelju)
2361;Obveze po poslovima izvoza za tuði raèun
237;Obveze prema poslovnim jedinicama u inozemstvu
2370;Obveze prema P.J. u inozemstvu
2371;Obveze prema podružnicama u inozemstvu
238;Obveze iz stjecanja udjela
2380;Obveze za uplaæeni a neupisani temeljni kapital
2381;Obveze za kupnju poslovnog udjela
239;Ostale kratkoroène obveze
2390;Obveze prema odštetnim zahtjevima
2391;Obveze prema brokerima za kupljene vrijednosne papire
2392;Obveze za doprinos za komunalnu infrastrukturu
2393;Obveze za PDV iz poslovnih odnosa
2394;Obveze iz primjene valutne klauzule
2395;Obveze s osnove sudskih presuda
2396;Obveze iz ortaštva
2397;Obveze za tuða sredstva
2398;Obveze prema inozemnom poduzet. za PDV
2399;Ostale nespomenute obveze
24;KRATKOROÈNE OBVEZE ZA POREZE, DOPRINOSE I SLIÈNA DAVANJA
240;Obveze za porez na dodanu vrijednost
2400;Obveza za PDV po isporukama
24000;Obveza za PDV - 10%
24001;Obveza za PDV - 22%
24002;Obveza za PDV - 23%
2401;Obveza za PDV-a prema raèunu za predujam
24010;Obveza za PDV za predujam - 10%
24011;Obveza za PDV za predujam - 22%
24012;Obveza za PDV za predujam - 23%
2402;Obveze za PDV s osnove vlastite potrošnje - 23% (za uporabu proizv. za reprezentaciju te za osobne automobile nabavljene do 1.I. 2010.)
2403;Obveza za PDV po nezaraèunanim isporukama
24030;Obveza za PDV po nezaraèunanim isporukama - 10%
24031;Obveza za PDV po nezaraèunanim isporukama - 22%
24032;Obveza za PDV po nezaraèunanim isporukama - 23%
2404;Obveze za ispravljeni PDV zbog prenamjene dobara
24041;Obveza za PDV zbog promjene postotka priznavanja PDV-a
2405;Obraèunana a nedospjela obveza za PDV
2406;Obveza za PDV po Rješenju poreznog nadzora
2407;Obveza za razliku poreza i pretporeza u obraèunskom razdoblju
2408;Povrat PDV-a iz putnièkog prometa
2409;Obveza za PDV po konaènom obraèunu
241;Obveze za porez i prirez na dohodak
2410;Obveze za porez na dohodak iz plaæa i primitaka izjednaèenih s plaæom
2411;Obveze za prirez iz plaæa i primitaka izjednaèenih s plaæama
2412;Obveze za porez i prirez na drugi dohodak (iz autorskih honorara, ugovora o djelu, dohodaka èlanova nadzornog odbora i dr.)
2413;Obveze za porez i prirez iz stipendija i nagrada uèenika na praksi
2414;Obveze za porez i prirez za ostale dohotke
242;Obveze za doprinose za osiguranja
2420;Doprinos za MO iz plaæa (I. stup)
2421;Doprinos za MO iz plaæa (II. stup - analitika prema fondovima)
2422;Doprinos za MO za beneficirani staž (I. i II. stup)
2423;Doprinos za zdravstveno osiguranje na plaæe
2424;Poseban doprinos za zdravstveno osiguranje na plaæe za ozljede na radu i prof. bolesti
2426;Doprinos za zapošljavanje na plaæu
2427;Doprinosi za osiguranja na druge dohotke
24270;Doprinos za MO I. stup
24271;Doprinos za MO II. stup
24272;Doprinos za zdravstveno osiguranje na honorar
2428;Doprinos HZZO-u na službena putovanja u inozemstvo
2429;Obveze za ostale nespomenute doprinose koji se plaæaju na dohotke
243;Obveze za porez na dobitak, dohodak od kapitala i porez po odbitku
2430;Obveze za porez na dobitak
2431;Obveze za porez na dohotke od kapitala
24310;Porez na dohodak od kapitala na izuzimanja ili privatni život èlanova društva i dionièara (35% + prirez)
24311;Porez na dohodak od kapitala na isplate dobitka i dividendi (iz 2001. do 2004. = 15% + prirez)
24312;Porez na dohodak od kapitala na kamate (na zajmove fizièkih osoba = 35% + prirez)
24313;Porez na dohodak od kapitala s osnove opcijskih dionica (15% + prirez)
2432;Obveze za porez po odbitku (na inozemne usluge intelektualnog vlasništva, za istraživ. tržišta, poslovno i porezno savjetovanje, revizorske usluge i na kamate inozemnim nebankarskim pravnim osobama - 15% - èl. 31. Zakona o porezu na dobit)
2436;Obveza za PD po rješenju poreznog nadzora
244;Obveze za posebne poreze (trošarine - akcize) i dr. poreze državi
2440;Obveza za posebni porez pri uvozu automobila, plovila i zrakoplova
2441;Obveza za posebni porez na bezalkoholna piæa
2442;Obveza za posebni porez na pivo
2443;Obveza za posebni porez na alkohol
2444;Obveza za posebni porez na naftne derivate
24440;Obveze za naknade za Hrvatske autoceste
24441;Obveze za naknade za Hrvatske ceste
2445;Obveze za posebni porez na duhanske proizvode
2446;Obveza za posebni porez na kavu
2447;Obveze za posebni porez na luksuzne proizvode
2448;Obveza za 5% poreza na promet nekretnina
2449;Obveze za 5% poreza na promet mot. vozila i plovila
245;Obveze za èlanarinu turist. zajednicama
246;Obveze za èlanarinu komori
2460;Obveza za HGK za paušalnu naknadu
2461;Obveza za HGK za javnu funkciju
2462;Obveza za èlanarinu Obrtnièkoj komori
2463;Obveze za paušal HOK-u
2464;Obveze za èlanarinu granskoj ili strukovnoj komori
247;Obveze za carinu i carinske pristojbe
2470;Obveze za carinu
2471;Obveze za carinu prema mjernoj jedinici (prelevmani)
2472;Obveze za carinske pristojbe i takse
2473;Ostale obveze prema carini (za PDV i dr.)
248;Obveze za županijske (gradske) i opæinske poreze
2480;Obveze za imovinski porez na motorna vozila i plovne objekte
2481;Obveze za imovinski porez na kuæe za odmor i porez na korištenje javnih površina
2482;Obveze za porez na istaknutu reklamu
2483;Obveze za porez na tvrtku ili naziv
2484;Obveza za porez na potrošnju alkoholnih i bezalkoholnih piæa i piva u ugostiteljstvu
2485;Obveze za porez na zabavne i športske priredbe
2486;Obveze za porez na nasljedstva i darove
2489;Obveze za ostale poreze županiji, gradu ili opæini
249;Ostale obveze javnih davanja
2490;Obveze za nadoknadu za šume
2491;Obveze prema lokalnoj samoupravi za financiranje komunalne izgradnje (prema Zakonu o komunalnom gospodarstvu)
2492;Obveze za zakonske kazne
2493;Obveze za boravišnu pristojbu
2494;Obveze za koncesije
2495;Obveze za spomenièku rentu
2496;Obveze za naknade za iskorištav. mineral. sirovina
2497;Obveze za naknade za ambalažu
2499;Ostale obveze za ostala javna davanja
25;DUGOROÈNE OBVEZE (za duže od jedne godine)
250;Obveze prema povezanim poduzetnicima
2500;Obveze za primljena dobra i usluge
2501;Obveze za korištenje zajmova
251;Obveze za zajmove, depozite i sl.
2510;Obveze za dugoroène financijske zajmove
2511;Obveze za dugoroène hipotekarne zajmove
2512;Obveze za dugoroène zajmove prema graðanima
2513;Obveze za dugoroène zajmove èlanovima društva
2514;Obveze za dugoroène zajmove iz inozemstva
2515;Obveze za depozite
2516;Obveze za kapare
2517;Obveze s osnove jamstva (realiziranih)
2519;Ostale obveze za dugoroène zajmove
252;Obveze prema bankama i dr. financijskim institucijama
2520;Dugoroèni financijski krediti banaka (analitika po bankama a unutar toga po sklopljenim ugovorima o kreditu)
2521;Dugoroèni krediti od osiguravajuæih društava (analitika po društvima a unutar toga po sklopljenim ugovorima)
2522;Dugoroèni krediti od ostalih domaæih kreditnih institucija (fonda, i dr.)
2523;Dugoroèni krediti od inozemnih banaka i drugih inozemnih kreditnih institucija
2529;Dugoroène obveze za kamate
253;Dugoroène obveze iz financijskog lizinga
2530;Financijski najam vozila, brodova i dr.
2531;Povratni financijski najam (npr. nekretnina brodova, tramvaja, vlakova i dr.)
254;Obveze za predujmove
2540;Obveze za dugoroène predujmove (avanse) za izgradnju objekata i postrojenja (bez PDV-a)
2541;Obveze za dugoroène predujmove za isporuke zaliha
2542;Ostale dugoroène obveze za predujmove
255;Obveze prema dobavljaèima (neisplaæene dugoroène obveze prema vjerovnicima s osnove poslovanja)
2550;Obveze prema dobavljaèima s rokom plaæanja duljim od godine dana (npr. kod izgradnje)
2551;Obveze prema dobavljaèima iz inozemstva (dugoroène)
2552;Obveze prema vjerovnicima iz ostalih poslovnih aktivnosti
2553;Obveze prema dobavljaèima za zadržani dio iz jamstva
256;Obveze po vrijednosnim papirima (dugoroènim)
2560;Obveze za izdane dugoroène obveznice
2561;Obveze za dugoroène komercijalne vrijednosne papire
2562;Obveze za dugoroène mjenice
2563;Obveze po ostalim dugoroè. vrijednos. papirima
2569;Diskont na vrijednosne papire (kao razlika do nominalne vrijednosti)
257;Obveze prema poduzetnicima u kojima postoje sudjelujuæi interesi (do 20% udjela)
258;Obveze prema Državi (realizirana jamstva, krediti)
259;Ostale dugoroène obveze
2590;Obveze prema zakladama, komorama i sl.
2591;Dugoroène obveze za porez
2592;Dugoroène obveze za socijalno osiguranje
2593;Obveze za dugoroène jamèevine
2599;Ostale dugoroène obveze
26;ODGOÐENI POREZI
260;Odgoðena porezna obveza
2600;Odgoðena privremena razlika porezne obveze (analitika po godinama - HSFI t. 12.22. i MRS 12 t. 5.)
28;DUGOROÈNA REZERVIRANJA ZA RIZIKE I TROŠKOVE
280;Rezerviranja za otpremnine i mirovine
2800;Rezerviranja za otpremnine
2801;Rezerviranja za mirovine
281;Rezerviranja za porezne obveze
2810;Dugor. rezerv. za odg. plaæ. poreza i dopr.
282;Druga rezerviranja
2820;Dugoroèna rezerviranja za troškove izdanih jamstava za prodana dobra
2821;Dugoroèna rezerviranja za gubitke po zapoèetim sudskim sporovima
2822;Dugor. rezerv. za obnovu prirodnog bogatstva - Dug. rezer. za neiskorištene g. o. (MRS 19. t. 14. i HSFI 13) - vidi raèun 298
2824;Dugoroèno rezerviranje za restrukturiranje (MRS 37 i HSFI t. 16.22.)
2825;Rezerviranje za ugovore s poteškoæama (MRS 37, t. 66. i HSFI t. 16.21.)
2829;Ostala dugoroèna rezerviranja za rizike i dr.
29;ODGOÐENO PLAÆANJE TROŠKOVA I PRIHOD BUDUÆEG RAZDOBLJA
290;Odgoðeno plaæanje troškova
2900;Obraèunani troškovi za koje nije primljena faktura (telefon, grijanje, el. energija, plin, voda i sl.)
2901;Obraèunana najamnina iz operativnog (poslovnog) najma
2902;Obraèunani troškovi tekuæeg održavanja
2903;Obraèunani troškovi reklame, propagande i sajmova
2904;Obraèunane a neplaæene usluge korištene u obraèunskom razdoblju
2905;Obraèunani rad po ugovoru o djelu, autor. hon.
2906;Obraèunani kalo, rastep, kvar i lom
2907;Obraèunani troškovi premije osiguranja
2908;Uraèunani troškovi službenih glasila i struènih èasopisa
2909;Obraèunani ostali troškovi poslovanja (troškovi prijevoza, bankovne usluge i platni promet, reprezentacija i dr.)
291;Obraèunani troškovi korištenih prava
2910;Obraèunani troškovi franšiza, korištenih trgovaèkih znakova, prava i sl.
2911;Obraèunani troškovi licencija
2912;Obraèunani troškovi autorskih prava
2913;Odgoðeno plaæanje troškova za ostala prava
292;Obraèunani troškovi nabave dobara
2920;Obraèunani ovisni troškovi nabave (za koje nisu primljeni raèuni) - prijevoz, osiguranje, špedicija i dr. vanjski troškovi
293;Obraèunani prihodi buduæeg razdoblja
2930;Odgoðeni prihodi radi neizvjesnih troškova
2931;Obraèunani prihodi buduæeg razdoblja koji su rezultat primjene raèunovodstvene politike
2932;Odgoðeno priznavanje prihoda kad se predviða povrat robe
2933;Odgoðeni prihodi iz otkupa tražbine (faktoring koji nije zaraðen)
2934;Odgoðeni prihodi od kamata iz financijskog lizinga
2935;Odgoðeni prihodi iz operativnog lizinga
2936;Obraèunane (anticipativne) kamate na dane zajmove i zatezne kamate (za buduæe razdoblje)
2937;Unaprijed obraèunane ili naplaæene školarine
2938;Odgoðeni prihodi iz ortaštva
2939;Ostali odgoðeni prihodi buduæeg razdoblja
294;Odgoðeno priznavanje prihoda iz državnih potpora (HSFI t. 15.37 i MRS 20, t. 12. i 24.)
2940;Odgoðeni prihodi iz državnih i lokalnih potpora za dugotrajnu nematerijalnu i materijalnu imovinu (analitike po namjenskim primitcima iz proraèuna - po investicijama)
2941;Odgoðeni prihodi iz potpora za zapošljavanje
2942;Odgoðeno priznavanje prihoda za unaprijed naplaæene subvencije i potpore
2943;Odgoðeni prihodi ostalih potpora
295;Odgoðeno priznavanje prihoda
2950;Odgoðeni prihodi zbog rizika naplate (HSFI t. 15.71 u svezi s t. 15.24)
2951;Razgranièeni višak prihoda od prodaje i povratnog financijskog najma (MRS 17, t. 59.)
296;Odgoðeni prihod s osnove nefakturiranih isporuka dobara i usluga
297;Nerealizirani dobitci iz financijske imovine (HSFI 9 i MRS 39)
298;Rezerviranje troška za neiskorištene godišnje odmore
299;Ostala pasivna vremenska razgranièenja
2999;Ostala pasivna vremenska razgranièenja troškova
3;ZALIHE SIROVINA I MATERIJALA, REZERVNIH DIJELOVA I SITNOG INVENTARA
30;OBRAÈUN TROŠKOVA KUPNJE ZALIHA
300;Kupovna cijena dobavljaèa
3000;Fakturna cijena sirovina i materijala na putu
3001;Fakturna cijena sirovina i materijala
3002;Fakturna cijena rezervnih dijelova
3003;Fakturna cijena sitnog inventara, autoguma i ambalaže
3005;Materijal i dijelovi u preuzimanju (nema dokumentacije)
301;Ovisni troškovi nabave (u svezi s dovoðenjem na zalihu)
3010;Troškovi transporta
3011;Troškovi ukrcaja i iskrcaja (fakturirani)
3012;Transportno osiguranje i èuvanje
3013;Posebni troškovi pakiranja - ambalaže
3014;Troškovi vlastitog transporta
3015;Troškovi vlastitog ukrcaja i iskrcaja
3016;Troškovi špeditera
3017;Troškovi atesta i kontrole
3018;Troškovi dorade i oplemenjivanja za vrijeme dovoðenja na zalihu
3019;Ostali ovisni troškovi nabave
302;Carina i druge uvozne pristojbe
303;Posebni porezi (trošarine) koji se ne mogu odbiti
309;Obraèun troškova kupnje
3090;Obraèun nabave sirovina i materijala, dijelova i sitnog inventara koji se skladišti
3091;Obraèun nabave sirovina i materijala i dijelova koji izravno terete troškove
31;SIROVINE I MATERIJAL NA ZALIHI
310;Sirovine i materijal u skladištu
3100;Zalihe sirovina i materijala
3101;Zalihe goriva i maziva
3102;Poluproizvodi za ugradnju ili proizvodnju
3103;Uredski materijal i pribor
3104;Zalihe materijala s temelja povezane proizvodnje
3105;Zalihe ambalažnog materijala
3106;Zalihe materijala kod kooperanata
3107;Materijal na zalihi u javnom ili drugom skladištu
3108;Zalihe piæa, hrane i dr. u ugostiteljstvu i hotelijerstvu
3109;Zalihe otpadnog i rashodovanog materijala
311;Materijal u doradi, obradi i manipulaciji
3110;Materijal u doradi, obradi i oplemenjivanju
3111;Materijal u manipulaciji i na putu
3112;Troškovi dorade, obrade i oplemenjivanja
312;Materijal na doradi kod ortaka
313;Zalihe materijala za poljoprivredu
3130;Zalihe sjemena i sadnog materijala
3131;Zalihe komponenti za proizvodnju
318;Odstupanje od cijene zaliha
319;Vrijednosno usklaðenje zaliha sirovina i materijala
32;ZALIHE REZERVNIH DIJELOVA
320;Rezervni dijelovi na zalihi
3200;Rezervni dijelovi za servisne usluge
3201;Dijelovi i sklopovi za ugradnju (u proizvode)
3202;Rezervni dijelovi za tekuæe i investicijsko održavanje
3203;Zalihe polovnih rezervnih dijelova
3204;Zalihe otpadaka rezervnih dijelova
328;Odstupanje od cijene dijelova na zalihi
329;Vrijednosno usklaðenje zaliha rezervnih dijelova
35;ZALIHE SITNOG INVENTARA
350;Sitan inventar na zalihi
3500;Sitan inventar na zalihi (analitika prema vrstama: alati, mjerni instrumenti, pribori, ostala sredstva rada male vrijednosti, radna i zaštitna odjeæa, protupožarna i sanitetska sredstva, i dr.)
351;Ambalaža na zalihi (samo vlastita i višekratna, analitika prema vrstama)
352;Autogume na zalihi
358;Odstupanje od cijene
359;Vrijednosno usklaðenje zaliha
36;ZALIHE SITNOG INVENTARA U UPORABI
360;Sitan inventar u uporabi
